Date,Inflation Rate,UMCSI,Unemployment Rate,Wage Growth Rate
Jan-00,2.7,112,4,4.9
Feb-00,3.2,111.3,4.1,4.8
Mar-00,3.8,107.1,4,4.8
Apr-00,3.1,109.2,3.8,4.9
May-00,3.2,110.7,4,4.9
Jun-00,3.7,106.4,4,5
Jul-00,3.7,108.3,4,5.1
Aug-00,3.4,107.3,4.1,5.1
Sep-00,3.5,106.8,3.9,5.2
Oct-00,3.4,105.8,3.9,5.2
Nov-00,3.4,107.6,3.9,5.4
Dec-00,3.4,98.4,3.9,5.4
Jan-01,3.7,94.7,4.2,5.4
Feb-01,3.5,90.6,4.2,5.3
Mar-01,2.9,91.5,4.3,5.3
Apr-01,3.3,88.4,4.4,5.3
May-01,3.6,92,4.3,5.1
Jun-01,3.2,92.6,4.5,5.2
Jul-01,2.7,92.4,4.6,5.1
Aug-01,2.7,91.5,4.9,5.2
Sep-01,2.6,81.8,5,5
Oct-01,2.1,82.7,5.3,5
Nov-01,1.9,83.9,5.5,5
Dec-01,1.6,88.8,5.7,5
Jan-02,1.1,93,5.7,4.9
Feb-02,1.1,90.7,5.7,4.7
Mar-02,1.5,95.7,5.7,4.6
Apr-02,1.6,93,5.9,4.3
May-02,1.2,96.9,5.8,4.4
Jun-02,1.1,92.4,5.8,4.2
Jul-02,1.5,88.1,5.8,4.1
Aug-02,1.8,87.6,5.7,4
Sep-02,1.5,86.1,5.7,3.9
Oct-02,2,80.6,5.7,3.8
Nov-02,2.2,84.2,5.9,3.5
Dec-02,2.4,86.7,6,3.6
Jan-03,2.6,82.4,5.8,3.7
Feb-03,3,79.9,5.9,3.9
Mar-03,3,77.6,5.9,3.7
Apr-03,2.2,86,6,3.5
May-03,2.1,92.1,6.1,3.5
Jun-03,2.1,89.7,6.3,3.6
Jul-03,2.1,90.9,6.2,3.7
Aug-03,2.2,89.3,6.1,3.5
Sep-03,2.3,87.7,6.1,3.5
Oct-03,2,89.6,6,3.4
Nov-03,1.8,93.7,5.8,3.4
Dec-03,1.9,92.6,5.7,3.3
Jan-04,1.9,103.8,5.7,3.3
Feb-04,1.7,94.4,5.6,3.4
Mar-04,1.7,95.8,5.8,3.4
Apr-04,2.3,94.2,5.6,3.4
May-04,3.1,90.2,5.6,3.4
Jun-04,3.3,95.6,5.6,3.3
Jul-04,3,96.7,5.5,3.4
Aug-04,2.7,95.9,5.4,3.5
Sep-04,2.5,94.2,5.4,3.7
Oct-04,3.2,91.7,5.5,3.7
Nov-04,3.5,92.8,5.4,3.7
Dec-04,3.3,97.1,5.4,3.5
Jan-05,3,95.5,5.3,3.6
Feb-05,3,94.1,5.4,3.5
Mar-05,3.1,92.6,5.2,3.6
Apr-05,3.5,87.7,5.2,3.5
May-05,2.8,86.9,5.1,3.6
Jun-05,2.5,96,5,3.8
Jul-05,3.2,96.5,5,4
Aug-05,3.6,89.1,4.9,4
