Year,state,start_date,end_date,GOP Pct,DEM Pct
2024,Missouri,4/21/21,4/22/21,53,38
2024,New Hampshire,5/7/21,5/10/21,43,51
2024,Missouri,9/18/21,9/20/21,55,36
2024,Iowa,10/18/21,10/19/21,54.1,40.5
2024,Iowa,11/7/21,11/10/21,51,40
2024,New Hampshire,12/10/21,12/12/21,47.75,45.9
2024,Iowa,2/20/22,2/22/22,52.5,38.4
2024,Colorado,4/6/22,4/8/22,43.1,42.9
2024,Connecticut,5/10/22,5/11/22,38.1,50.8
2024,Missouri,5/11/22,5/15/22,50,35
2024,Texas,6/8/22,6/10/22,44,38.3
2024,Massachusetts,6/7/22,6/15/22,31,60
2024,New Hampshire,6/16/22,6/20/22,43,48
2024,Iowa,7/13/22,7/14/22,51.1,39.7
2024,Ohio,7/22/22,7/24/22,41.7,44
2024,Colorado,7/24/22,7/26/22,43.4,50.2
2024,Connecticut,7/26/22,7/27/22,38.6,52.4
2024,Missouri,7/24/22,7/27/22,51,35
2024,New York,8/7/22,8/9/22,40,52
2024,Ohio,8/15/22,8/16/22,52.5,38.9
2024,Washington,8/15/22,8/17/22,40.6,53.6
2024,New York,8/17/22,8/21/22,29,49
2024,South Carolina,8/24/22,8/25/22,46,34
2024,New York,9/4/22,9/6/22,37.4,52.6
2024,Arkansas,8/31/22,9/7/22,58,32
2024,Kansas,8/31/22,9/7/22,52,40
2024,Louisiana,8/31/22,9/7/22,51,34.5
2024,Mississippi,8/31/22,9/7/22,54,36.5
2024,Montana,8/31/22,9/7/22,49,35.5
2024,Ohio,8/31/22,9/7/22,49,40.5
2024,Oklahoma,8/31/22,9/7/22,63,29
2024,Rhode Island,8/31/22,9/7/22,37,49
2024,South Carolina,8/31/22,9/7/22,51,40.5
2024,Texas,8/31/22,9/7/22,48,42
2024,Massachusetts,9/7/22,9/8/22,33.7,54
2024,Connecticut,9/7/22,9/9/22,35.7,49
2024,New Mexico,9/8/22,9/11/22,40.5,47.4
2024,Ohio,9/12/22,9/13/22,49.8,39.05
2024,New Hampshire,9/14/22,9/15/22,43.2,46.3
2024,Kansas,9/15/22,9/18/22,51.5,35.7
2024,Missouri,9/14/22,9/18/22,52,35
2024,Colorado,9/18/22,9/19/22,36,45.8
2024,Maine,9/19/22,9/20/22,40.1,50.9
2024,Texas,9/20/22,9/22/22,49.1,39.9
2024,Illinois,9/21/22,9/23/22,38.3,51
2024,Missouri,9/23/22,9/27/22,51.4,37
2024,Oregon,9/30/22,10/1/22,40.5,50.2
2024,Washington,9/30/22,10/1/22,38.7,49.4
2024,Rhode Island,9/29/22,10/2/22,32,49
2024,Iowa,10/2/22,10/4/22,49,39.8
2024,Oklahoma,10/4/22,10/6/22,52.7,40.8
2024,Ohio,10/6/22,10/7/22,47.6,38.7
2024,Illinois,10/10/22,10/11/22,42,51
2024,Ohio,10/11/22,10/15/22,55.4,35.18
2024,New York,10/14/22,10/18/22,37,42
2024,New Hampshire,10/18/22,10/19/22,42.7,44.3
2024,Texas,10/17/22,10/19/22,47.4,40.4
2024,Connecticut,10/19/22,10/21/22,40,49.4
2024,South Dakota,10/19/22,10/21/22,53.1,32.6
